Date,BTC,NYSE,NASDAQ,LSE,BTC_Volume,NYSE_Volume,NASDAQ_Volume,LSE_Volume,BTC_Change,Stock_Avg,Stock_Change,Recommendation,Term_Suggested,Risk_Level
2019-05-31,8574.501953125,12264.490234375,7453.14990234375,5284.0,25365190957,3982670000,2239420000,907325.0,3.0654502684543283,8333.880045572916,-0.839793122772825,Buy,Short-term,Medium
2019-06-03,8208.9951171875,12341.8203125,7333.02001953125,5302.0,22004511436,3952360000,2580670000,1205396.0,-4.262717974007691,8325.613444010416,-0.0991927111656854,Sell,Short-term,Medium
2019-06-04,7707.77099609375,12560.580078125,7527.1201171875,5300.0,24609731549,3814130000,2374130000,996264.0,-6.105791439007158,8462.566731770834,1.6449633253023954,Buy,Short-term,High
2019-06-05,7824.2314453125,12614.7001953125,7575.47998046875,5334.0,21760923463,3570760000,2139290000,658900.0,1.5109484866347334,8508.06005859375,0.5375830792816227,Hold,Long-term,Low
2019-06-06,7822.0234375,12675.66015625,7615.5498046875,5358.0,19474611077,3445140000,2093470000,412460.0,-0.028220123956368415,8549.736653645834,0.4898483880586557,Hold,Long-term,Low
2019-06-07,8043.951171875,12765.8603515625,7742.10009765625,5412.0,19141423231,3244380000,2074120000,1163061.0,2.837216433167966,8639.98681640625,1.0555899721417905,Buy,Long-term,Medium
2019-06-10,8000.32958984375,12802.0302734375,7823.169921875,5464.0,18689275117,3209890000,2042340000,215239.0,-0.5422904875873602,8696.400065104166,0.6529321154841838,Hold,Long-term,Low
2019-06-11,7927.71435546875,12813.91015625,7822.56982421875,5448.0,17107279932,3551000000,2121150000,1365077.0,-0.9076530355347279,8694.82666015625,-0.018092600801911107,Hold,Long-term,Low
2019-06-12,8145.857421875,12784.830078125,7792.72021484375,5408.0,19034432883,3039870000,1978930000,531757.0,2.7516514423324256,8661.85009765625,-0.3792664740645657,Buy,Long-term,Medium
2019-06-13,8230.923828125,12827.509765625,7837.1298828125,5410.0,18669407147,3100640000,1848360000,366027.0,1.0442903901259237,8691.546549479166,0.34284190430577954,Hold,Long-term,Low
2019-06-14,8693.8330078125,12787.240234375,7796.66015625,5446.0,19831162906,2992810000,1808370000,537469.0,5.624024585256682,8676.633463541666,-0.17158149993908856,Buy,Short-term,High
2019-06-17,9320.3525390625,12775.51953125,7845.02001953125,5454.0,15562951919,2828400000,1950550000,499893.0,7.206482235016409,8691.51318359375,0.1714918593093362,Buy,Short-term,High
2019-06-18,9081.7626953125,12907.4599609375,7953.8798828125,5462.0,15848210536,3441540000,2250550000,794867.0,-2.5598800340442818,8774.446614583334,0.9541886347952611,Sell,Long-term,Medium
2019-06-19,9273.521484375,12954.080078125,7987.31982421875,5480.0,15546809946,3300220000,2027520000,507200.0,2.1114710381221036,8807.13330078125,0.37252134104490686,Buy,Long-term,Medium
2019-06-20,9527.16015625,13081.5400390625,8051.33984375,5530.0,17846823784,3943060000,2108250000,677928.0,2.7350847496536934,8887.626627604166,0.9139560407899872,Buy,Long-term,Medium
2019-06-21,10144.556640625,13047.240234375,8031.7099609375,5500.0,20624008643,5003540000,2909540000,1680972.0,6.480383180815696,8859.650065104166,-0.31478102841434596,Buy,Short-term,High
2019-06-24,11011.1025390625,13019.98046875,8005.7001953125,5588.0,19271652365,3136960000,2073470000,873254.0,8.541979005443379,8871.226888020834,0.13066907644880832,Buy,Short-term,High
2019-06-25,11790.9169921875,12936.650390625,7884.72021484375,5584.0,24879684533,3579430000,2132550000,1149887.0,7.082074209722089,8801.790201822916,-0.7827179608232204,Buy,Short-term,High
2019-06-26,13016.2314453125,12912.009765625,7909.97021484375,5510.0,45105733173,3511350000,2122730000,497196.0,10.392020009443502,8777.32666015625,-0.2779382501255201,Buy,Short-term,High
2019-06-27,11182.806640625,12965.3203125,7967.759765625,5450.0,39977475223,3162500000,2083920000,755032.0,-14.085680731712602,8794.360026041666,0.1940609771621915,Sell,Short-term,High
2019-06-28,12407.33203125,13049.7099609375,8006.240234375,5486.0,35087757766,5422650000,4101490000,772989.0,10.950072106017949,8847.316731770834,0.6021666792393576,Buy,Short-term,High
2019-07-01,10583.134765625,13127.6904296875,8091.16015625,5586.0,29378589324,3524860000,2219030000,546039.0,-14.702574743953377,8934.9501953125,0.9905089441070158,Sell,Short-term,High
2019-07-02,10801.677734375,13152.5498046875,8109.08984375,5676.0,31015895223,3224490000,1956590000,650513.0,2.0650116774459715,8979.213216145834,0.4953919145129104,Buy,Long-term,Medium
2019-07-03,11961.26953125,13239.8701171875,8170.22998046875,5762.0,30796494294,1963570000,1548240000,542262.0,10.73529339969792,9057.36669921875,0.8703823062402138,Buy,Short-term,High
2019-07-05,10978.4599609375,13210.91015625,8161.7900390625,5656.0,23838480210,2434680000,1690700000,539132.0,-8.216599147313019,9009.566731770834,-0.5277468499982341,Sell,Short-term,High
2019-07-08,12285.9580078125,13147.2197265625,8098.3798828125,5692.0,23482551458,2922360000,1957160000,428673.0,11.909667216779173,8979.199869791666,-0.33705130205744505,Buy,Short-term,High
2019-07-09,12573.8125,13136.8896484375,8141.72998046875,5678.0,28167921523,3033330000,1871430000,410528.0,2.3429552014133215,8985.539876302084,0.07060770004405637,Buy,Long-term,Medium
2019-07-10,12156.5126953125,13173.259765625,8202.5302734375,5668.0,33627574244,3157800000,2066640000,410547.0,-3.318800918078746,9014.5966796875,0.32337292789772487,Sell,Short-term,Medium
2019-07-11,11358.662109375,13198.7197265625,8196.0400390625,5678.0,28595327690,3155710000,1970690000,1249258.0,-6.5631534794114765,9024.253255208334,0.10712154812864139,Sell,Short-term,High
2019-07-12,11815.986328125,13234.759765625,8244.1396484375,5694.0,23534692797,2984140000,1835960000,380612.0,4.026215537942113,9057.633138020834,0.36989080280116493,Buy,Short-term,Medium
2019-07-15,10895.08984375,13233.3896484375,8258.1904296875,5664.0,25384047207,2876100000,1790770000,493394.0,-7.793648865207603,9051.860026041666,-0.06373753375961133,Sell,Short-term,High
2019-07-16,9477.6416015625,13195.1904296875,8222.7998046875,5754.0,24151199070,3297030000,1947010000,454401.0,-13.009972955850602,9057.330078125,0.06043014438577021,Sell,Short-term,High
2019-07-17,9693.802734375,13119.9697265625,8185.2099609375,5778.0,24569921549,3185650000,1887120000,556841.0,2.2807481217359316,9027.7265625,-0.326845939914433,Buy,Long-term,Medium
2019-07-18,10666.482421875,13168.7001953125,8207.240234375,5770.0,25187024648,3369820000,2063790000,485937.0,10.034036323545138,9048.646809895834,0.23173328579459973,Buy,Short-term,High
2019-07-19,10530.732421875,13111.990234375,8146.490234375,5752.0,20727426310,3285890000,1893050000,427028.0,-1.2726782329064878,9003.493489583334,-0.4990063294670666,Hold,Long-term,Low
2019-07-22,10343.1064453125,13109.76953125,8204.1396484375,5716.0,16334414913,3016200000,1860440000,396657.0,-1.7816992118492525,9009.9697265625,0.0719302678083622,Hold,Long-term,Low
2019-07-23,9900.767578125,13197.51953125,8251.400390625,5638.0,17851916995,3333810000,1845050000,1229634.0,-4.276653919461193,9028.973307291666,0.2109172539519255,Sell,Short-term,Medium
2019-07-24,9811.92578125,13234.9296875,8321.5,5628.0,17398734322,3433220000,1953670000,604094.0,-0.8973223154060239,9061.4765625,0.3599883851919783,Hold,Long-term,Low
2019-07-25,9911.841796875,13169.2900390625,8238.5400390625,5626.0,15821952090,3657050000,2058090000,619986.0,1.018311979244002,9011.276692708334,-0.5539921606089404,Hold,Long-term,Low
2019-07-26,9870.3037109375,13235.5,8330.2099609375,5672.0,14495714483,3260170000,1975110000,235626.0,-0.41907535237897253,9079.236653645834,0.7541657331695539,Hold,Long-term,Low
2019-07-29,9519.1455078125,13222.6103515625,8293.330078125,6542.0,13791445323,3224490000,1882980000,1895144.0,-3.5577243964223126,9352.646809895834,3.0113782323342164,Buy,Short-term,Medium
2019-07-30,9607.423828125,13187.2099609375,8273.6103515625,6504.0,13829811132,3632770000,1893610000,1708979.0,0.927376519668166,9321.606770833334,-0.331885076956584,Hold,Long-term,Low
2019-07-31,10085.6279296875,13066.599609375,8175.419921875,6626.0,16631520648,4626330000,2679230000,1482629.0,4.977443590680308,9289.33984375,-0.3461519872764329,Buy,Short-term,Medium
2019-08-01,10399.6689453125,12920.8203125,8111.1201171875,7058.0,17165337858,4793810000,2815420000,2000766.0,3.1137477786643997,9363.3134765625,0.7963282004616268,Buy,Short-term,Medium
2019-08-02,10518.1748046875,12839.509765625,8004.06982421875,6814.0,17489094082,3882810000,2262550000,1820269.0,1.139515690337567,9219.193196614584,-1.5392016972267997,Sell,Long-term,Low
2019-08-05,11805.6533203125,12497.3095703125,7726.0400390625,6606.0,23875988832,4542850000,2661780000,879967.0,12.240512632013179,8943.116536458334,-2.994585906472047,Buy,Short-term,High
2019-08-06,11478.1689453125,12628.1396484375,7833.27001953125,6598.0,23635107660,4156640000,2217620000,1014089.0,-2.7739623222421628,9019.80322265625,0.8574939830571227,Sell,Long-term,Medium
2019-08-07,11941.96875,12632.9599609375,7862.830078125,6790.0,22194988641,4512720000,2470170000,917035.0,4.040712476852915,9095.263346354166,0.8366049883258286,Buy,Short-term,Medium
2019-08-08,11966.4072265625,12828.8203125,8039.16015625,6810.0,19481591730,4118530000,2442950000,1494643.0,0.2046436150864972,9225.993489583334,1.4373431340124032,Hold,Long-term,Low
2019-08-09,11862.9365234375,12748.419921875,7959.14013671875,6840.0,18339989960,3356850000,2221180000,642026.0,-0.8646764326666112,9182.52001953125,-0.47120638120076164,Hold,Long-term,Low
2019-08-12,11382.6162109375,12586.240234375,7863.41015625,6790.0,13647198229,3328570000,2068920000,508125.0,-4.048915810609244,9079.883463541666,-1.117738439679694,Sell,Short-term,Medium
