Date,Ticker,Close,Type
2024-10-09,AAPL,228.7359619140625,Stock
2024-10-10,AAPL,228.2377166748047,Stock
2024-10-11,AAPL,226.75294494628906,Stock
2024-10-14,AAPL,230.48980712890625,Stock
2024-10-15,AAPL,233.03086853027344,Stock
2024-10-16,AAPL,230.96810913085938,Stock
2024-10-17,AAPL,231.33682250976562,Stock
2024-10-18,AAPL,234.1768341064453,Stock
2024-10-21,AAPL,235.6516571044922,Stock
2024-10-22,AAPL,235.03382873535156,Stock
2024-10-23,AAPL,229.95169067382812,Stock
2024-10-24,AAPL,229.7623748779297,Stock
2024-10-25,AAPL,230.5994110107422,Stock
2024-10-28,AAPL,232.5824432373047,Stock
2024-10-29,AAPL,232.85150146484375,Stock
2024-10-30,AAPL,229.2939910888672,Stock
2024-10-31,AAPL,225.11868286132812,Stock
2024-11-01,AAPL,222.12918090820312,Stock
2024-11-04,AAPL,221.23233032226562,Stock
2024-11-05,AAPL,222.66729736328125,Stock
2024-11-06,AAPL,221.93984985351562,Stock
2024-11-07,AAPL,226.6831817626953,Stock
2024-11-08,AAPL,226.41383361816406,Stock
2024-11-11,AAPL,223.69039916992188,Stock
2024-11-12,AAPL,223.69039916992188,Stock
2024-11-13,AAPL,224.57826232910156,Stock
2024-11-14,AAPL,227.67080688476562,Stock
2024-11-15,AAPL,224.4585418701172,Stock
2024-11-18,AAPL,227.47128295898438,Stock
2024-11-19,AAPL,227.73065185546875,Stock
2024-11-20,AAPL,228.44891357421875,Stock
2024-11-21,AAPL,227.97007751464844,Stock
2024-11-22,AAPL,229.3168182373047,Stock
2024-11-25,AAPL,232.30960083007812,Stock
2024-11-26,AAPL,234.49432373046875,Stock
2024-11-27,AAPL,234.36465454101562,Stock
2024-11-29,AAPL,236.75888061523438,Stock
2024-12-02,AAPL,239.013427734375,Stock
2024-12-03,AAPL,242.06607055664062,Stock
2024-12-04,AAPL,242.42520141601562,Stock
2024-12-05,AAPL,242.4551239013672,Stock
2024-12-06,AAPL,242.25559997558594,Stock
2024-12-09,AAPL,246.1562042236328,Stock
2024-12-10,AAPL,247.1737518310547,Stock
2024-12-11,AAPL,245.89682006835938,Stock
2024-12-12,AAPL,247.36329650878906,Stock
2024-12-13,AAPL,247.5328826904297,Stock
2024-12-16,AAPL,250.4358673095703,Stock
2024-12-17,AAPL,252.8699951171875,Stock
2024-12-18,AAPL,247.4530792236328,Stock
2024-12-19,AAPL,249.1888885498047,Stock
2024-12-20,AAPL,253.87759399414062,Stock
2024-12-23,AAPL,254.6557159423828,Stock
2024-12-24,AAPL,257.57867431640625,Stock
2024-12-26,AAPL,258.39666748046875,Stock
2024-12-27,AAPL,254.9749298095703,Stock
2024-12-30,AAPL,251.5930938720703,Stock
2024-12-31,AAPL,249.8173828125,Stock
2025-01-02,AAPL,243.26319885253906,Stock
2025-01-03,AAPL,242.7743682861328,Stock
2025-01-06,AAPL,244.41041564941406,Stock
2025-01-07,AAPL,241.62713623046875,Stock
2025-01-08,AAPL,242.11593627929688,Stock
2025-01-10,AAPL,236.280029296875,Stock
2025-01-13,AAPL,233.83592224121094,Stock
2025-01-14,AAPL,232.71861267089844,Stock
2025-01-15,AAPL,237.2975616455078,Stock
2025-01-16,AAPL,227.710693359375,Stock
2025-01-17,AAPL,229.4265594482422,Stock
2025-01-21,AAPL,222.10421752929688,Stock
2025-01-22,AAPL,223.29135131835938,Stock
2025-01-23,AAPL,223.1217803955078,Stock
2025-01-24,AAPL,222.24388122558594,Stock
2025-01-27,AAPL,229.3068389892578,Stock
2025-01-28,AAPL,237.68663024902344,Stock
2025-01-29,AAPL,238.78399658203125,Stock
2025-01-30,AAPL,237.0182342529297,Stock
2025-01-31,AAPL,235.4320831298828,Stock
2025-02-03,AAPL,227.4613037109375,Stock
2025-02-04,AAPL,232.23977661132812,Stock
2025-02-05,AAPL,231.9105682373047,Stock
2025-02-06,AAPL,232.6587677001953,Stock
2025-02-07,AAPL,227.08221435546875,Stock
2025-02-10,AAPL,227.3518524169922,Stock
2025-02-11,AAPL,232.3153533935547,Stock
2025-02-12,AAPL,236.55978393554688,Stock
2025-02-13,AAPL,241.21368408203125,Stock
2025-02-14,AAPL,244.2796630859375,Stock
2025-02-18,AAPL,244.14984130859375,Stock
2025-02-19,AAPL,244.54930114746094,Stock
2025-02-20,AAPL,245.508056640625,Stock
2025-02-21,AAPL,245.22842407226562,Stock
2025-02-24,AAPL,246.77639770507812,Stock
2025-02-25,AAPL,246.71646118164062,Stock
2025-02-26,AAPL,240.0452117919922,Stock
2025-02-27,AAPL,236.98922729492188,Stock
2025-02-28,AAPL,241.5232696533203,Stock
2025-03-03,AAPL,237.71826171875,Stock
2025-03-04,AAPL,235.6210174560547,Stock
2025-03-05,AAPL,235.4312744140625,Stock
2025-03-06,AAPL,235.0218048095703,Stock
2025-03-07,AAPL,238.7569122314453,Stock
2025-03-10,AAPL,227.1820831298828,Stock
2025-03-11,AAPL,220.55078125,Stock
2025-03-12,AAPL,216.69583129882812,Stock
2025-03-13,AAPL,209.4053955078125,Stock
2025-03-14,AAPL,213.21041870117188,Stock
2025-03-17,AAPL,213.71974182128906,Stock
2025-03-18,AAPL,212.4114532470703,Stock
2025-03-19,AAPL,214.95811462402344,Stock
2025-03-20,AAPL,213.81961059570312,Stock
2025-03-21,AAPL,217.98414611816406,Stock
2025-03-24,AAPL,220.44091796875,Stock
2025-03-25,AAPL,223.45697021484375,Stock
2025-03-26,AAPL,221.2398681640625,Stock
2025-03-27,AAPL,223.5568389892578,Stock
2025-03-28,AAPL,217.6146240234375,Stock
2025-03-31,AAPL,221.83909606933594,Stock
2025-04-01,AAPL,222.897705078125,Stock
2025-04-02,AAPL,223.59678649902344,Stock
2025-04-03,AAPL,202.9239044189453,Stock
2025-04-04,AAPL,188.13330078125,Stock
2025-04-07,AAPL,181.2223663330078,Stock
2025-04-08,AAPL,172.19419860839844,Stock
2025-04-09,AAPL,198.58958435058594,Stock
2025-04-10,AAPL,190.17062377929688,Stock
2025-04-11,AAPL,197.89048767089844,Stock
2025-04-14,AAPL,202.25477600097656,Stock
2025-04-15,AAPL,201.87527465820312,Stock
2025-04-16,AAPL,194.0155792236328,Stock
2025-04-17,AAPL,196.72203063964844,Stock
2025-04-21,AAPL,192.9070281982422,Stock
2025-04-22,AAPL,199.47842407226562,Stock
2025-04-23,AAPL,204.33206176757812,Stock
2025-04-24,AAPL,208.09710693359375,Stock
2025-04-25,AAPL,209.00592041015625,Stock
2025-04-28,AAPL,209.8647918701172,Stock
2025-04-29,AAPL,210.9333953857422,Stock
2025-04-30,AAPL,212.22171020507812,Stock
2025-05-01,AAPL,213.04063415527344,Stock
2025-05-02,AAPL,205.08106994628906,Stock
2025-05-05,AAPL,198.62953186035156,Stock
2025-05-06,AAPL,198.25001525878906,Stock
2025-05-07,AAPL,195.99298095703125,Stock
2025-05-08,AAPL,197.2313690185547,Stock
2025-05-09,AAPL,198.27000427246094,Stock
2025-05-12,AAPL,210.7899932861328,Stock
2025-05-13,AAPL,212.92999267578125,Stock
2025-05-14,AAPL,212.3300018310547,Stock
2025-05-15,AAPL,211.4499969482422,Stock
2025-05-16,AAPL,211.25999450683594,Stock
2025-05-19,AAPL,208.77999877929688,Stock
2025-05-20,AAPL,206.86000061035156,Stock
2025-05-21,AAPL,202.08999633789062,Stock
2025-05-22,AAPL,201.36000061035156,Stock
2025-05-23,AAPL,195.27000427246094,Stock
2025-05-27,AAPL,200.2100067138672,Stock
2025-05-28,AAPL,200.4199981689453,Stock
2025-05-29,AAPL,199.9499969482422,Stock
2025-05-30,AAPL,200.85000610351562,Stock
2025-06-02,AAPL,201.6999969482422,Stock
2025-06-03,AAPL,203.27000427246094,Stock
2025-06-04,AAPL,202.82000732421875,Stock
2025-06-05,AAPL,200.6300048828125,Stock
2025-06-06,AAPL,203.9199981689453,Stock
2025-06-09,AAPL,201.4499969482422,Stock
2025-06-10,AAPL,202.6699981689453,Stock
2025-06-11,AAPL,198.77999877929688,Stock
2025-06-12,AAPL,199.1999969482422,Stock
2025-06-13,AAPL,196.4499969482422,Stock
2025-06-16,AAPL,198.4199981689453,Stock
2025-06-17,AAPL,195.63999938964844,Stock
2025-06-18,AAPL,196.5800018310547,Stock
2025-06-20,AAPL,201.0,Stock
2025-06-23,AAPL,201.5,Stock
2025-06-24,AAPL,200.3000030517578,Stock
2025-06-25,AAPL,201.55999755859375,Stock
2025-06-26,AAPL,201.0,Stock
2025-06-27,AAPL,201.0800018310547,Stock
2025-06-30,AAPL,205.1699981689453,Stock
2025-07-01,AAPL,207.82000732421875,Stock
2025-07-02,AAPL,212.44000244140625,Stock
2025-07-03,AAPL,213.5500030517578,Stock
2025-07-07,AAPL,209.9499969482422,Stock
2025-07-08,AAPL,210.00999450683594,Stock
2025-07-09,AAPL,211.13999938964844,Stock
2025-07-10,AAPL,212.41000366210938,Stock
2025-07-11,AAPL,211.16000366210938,Stock
2025-07-14,AAPL,210.2,Future
2025-07-15,AAPL,209.64,Future
2025-07-16,AAPL,210.33,Future
2025-07-17,AAPL,207.84,Future
2025-07-18,AAPL,208.91,Future
2025-07-19,AAPL,209.02,Future
2025-07-20,AAPL,207.72,Future
2025-07-21,AAPL,212.07,Future
2025-07-22,AAPL,211.69,Future
2025-07-23,AAPL,217.23,Future
2025-07-24,AAPL,219.24,Future
2025-07-25,AAPL,222.4,Future
2025-07-26,AAPL,221.09,Future
2025-07-27,AAPL,221.16,Future
2025-07-28,AAPL,220.98,Future
2025-07-29,AAPL,221.58,Future
2025-07-30,AAPL,219.96,Future
2025-07-31,AAPL,220.51,Future
2025-08-01,AAPL,219.67,Future
2025-08-02,AAPL,216.62,Future
2025-08-03,AAPL,216.82,Future
2025-08-04,AAPL,214.78,Future
2025-08-05,AAPL,215.48,Future
2025-08-06,AAPL,217.36,Future
2025-08-07,AAPL,217.03,Future
2025-08-08,AAPL,215.44,Future
2025-08-09,AAPL,217.34,Future
2025-08-10,AAPL,217.99,Future
2025-08-11,AAPL,220.88,Future
2025-08-12,AAPL,220.83,Future
2024-03-31,BTC-USD,71333.6484375,Crypto
2024-04-01,BTC-USD,69702.1484375,Crypto
2024-04-02,BTC-USD,65446.97265625,Crypto
2024-04-03,BTC-USD,65980.8125,Crypto
2024-04-04,BTC-USD,68508.84375,Crypto
2024-04-05,BTC-USD,67837.640625,Crypto
2024-04-06,BTC-USD,68896.109375,Crypto
2024-04-07,BTC-USD,69362.5546875,Crypto
2024-04-08,BTC-USD,71631.359375,Crypto
2024-04-09,BTC-USD,69139.015625,Crypto
2024-04-10,BTC-USD,70587.8828125,Crypto
2024-04-11,BTC-USD,70060.609375,Crypto
2024-04-12,BTC-USD,67195.8671875,Crypto
2024-04-13,BTC-USD,63821.47265625,Crypto
2024-04-14,BTC-USD,65738.7265625,Crypto
2024-04-15,BTC-USD,63426.2109375,Crypto
2024-04-16,BTC-USD,63811.86328125,Crypto
2024-04-17,BTC-USD,61276.69140625,Crypto
2024-04-18,BTC-USD,63512.75390625,Crypto
2024-04-19,BTC-USD,63843.5703125,Crypto
2024-04-20,BTC-USD,64994.44140625,Crypto
2024-04-21,BTC-USD,64926.64453125,Crypto
2024-04-22,BTC-USD,66837.6796875,Crypto
2024-04-23,BTC-USD,66407.2734375,Crypto
2024-04-24,BTC-USD,64276.8984375,Crypto
2024-04-25,BTC-USD,64481.70703125,Crypto
2024-04-26,BTC-USD,63755.3203125,Crypto
2024-04-27,BTC-USD,63419.140625,Crypto
2024-04-28,BTC-USD,63113.23046875,Crypto
2024-04-29,BTC-USD,63841.12109375,Crypto
2024-04-30,BTC-USD,60636.85546875,Crypto
2024-05-01,BTC-USD,58254.01171875,Crypto
2024-05-02,BTC-USD,59123.43359375,Crypto
2024-05-03,BTC-USD,62889.8359375,Crypto
2024-05-04,BTC-USD,63891.47265625,Crypto
2024-05-05,BTC-USD,64031.1328125,Crypto
2024-05-06,BTC-USD,63161.94921875,Crypto
2024-05-07,BTC-USD,62334.81640625,Crypto
2024-05-08,BTC-USD,61187.94140625,Crypto
2024-05-09,BTC-USD,63049.9609375,Crypto
2024-05-10,BTC-USD,60792.77734375,Crypto
2024-05-11,BTC-USD,60793.7109375,Crypto
2024-05-12,BTC-USD,61448.39453125,Crypto
2024-05-13,BTC-USD,62901.44921875,Crypto
2024-05-14,BTC-USD,61552.7890625,Crypto
2024-05-15,BTC-USD,66267.4921875,Crypto
2024-05-16,BTC-USD,65231.58203125,Crypto
2024-05-17,BTC-USD,67051.875,Crypto
2024-05-18,BTC-USD,66940.8046875,Crypto
2024-05-19,BTC-USD,66278.3671875,Crypto
2024-05-20,BTC-USD,71448.1953125,Crypto
2024-05-21,BTC-USD,70136.53125,Crypto
2024-05-22,BTC-USD,69122.3359375,Crypto
2024-05-23,BTC-USD,67929.5625,Crypto
2024-05-24,BTC-USD,68526.1015625,Crypto
2024-05-25,BTC-USD,69265.9453125,Crypto
2024-05-26,BTC-USD,68518.09375,Crypto
2024-05-27,BTC-USD,69394.5546875,Crypto
2024-05-28,BTC-USD,68296.21875,Crypto
2024-05-29,BTC-USD,67578.09375,Crypto
2024-05-30,BTC-USD,68364.9921875,Crypto
2024-05-31,BTC-USD,67491.4140625,Crypto
2024-06-01,BTC-USD,67706.9375,Crypto
2024-06-02,BTC-USD,67751.6015625,Crypto
2024-06-03,BTC-USD,68804.78125,Crypto
2024-06-04,BTC-USD,70567.765625,Crypto
2024-06-05,BTC-USD,71082.8203125,Crypto
2024-06-06,BTC-USD,70757.1640625,Crypto
2024-06-07,BTC-USD,69342.5859375,Crypto
2024-06-08,BTC-USD,69305.7734375,Crypto
2024-06-09,BTC-USD,69647.9921875,Crypto
2024-06-10,BTC-USD,69512.28125,Crypto
2024-06-11,BTC-USD,67332.03125,Crypto
2024-06-12,BTC-USD,68241.1875,Crypto
2024-06-13,BTC-USD,66756.3984375,Crypto
2024-06-14,BTC-USD,66011.09375,Crypto
2024-06-15,BTC-USD,66191.0,Crypto
2024-06-16,BTC-USD,66639.046875,Crypto
2024-06-17,BTC-USD,66490.296875,Crypto
2024-06-18,BTC-USD,65140.74609375,Crypto
2024-06-19,BTC-USD,64960.296875,Crypto
2024-06-20,BTC-USD,64828.65625,Crypto
2024-06-21,BTC-USD,64096.19921875,Crypto
2024-06-22,BTC-USD,64252.578125,Crypto
